precip,Precip t-1,Precip t-2,Precip t-3,Precip AVG mes,temp t-1,temp t-2,temp t-3,temp AVG mes,rango temp,presion t-1,presion t-2,presion t-3,presion AVG mes,hum t-1,hum t-2,hum t-3,hum AVG mes,vel t-1,vel t-2,vel t-3,Vel AVG mes,rad t-1,rad t-2,rad t-3,rad AVG mes,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,confort,pto rocio
0,0,0,0,0.204086177141903,0.543575735798102,0.564321345540953,0.607133056099079,0.938775510204083,0.775401069518717,0.451543817659426,0.347461572683413,0.325734662698341,0.176923076923082,0.424989945032846,0.298632524467086,0.356079903472316,0.0456692913385836,0.340874233128834,0.426476226993866,0.388995398773007,0.769230769230769,0.315137418941896,0.344525637240428,0.304104481753542,1,1,0,0,0,0,0,0,0,0,0,0,0,0.358796113914219,0.466044987635443
0,0,0,0,0.204086177141903,0.558240136654855,0.543575735798102,0.564321345540953,0.938775510204083,0.748663101604278,0.473512137755484,0.451543817659426,0.347461572683413,0.176923076923082,0.340394154712428,0.424989945032846,0.298632524467086,0.0456692913385836,0.334164110429446,0.340874233128834,0.426476226993866,0.769230769230769,0.321599838749971,0.315137418941896,0.344525637240428,1,1,0,0,0,0,0,0,0,0,0,0,0,0.308325023718615,0.380007631009177
0,0,0,0,0.204086177141903,0.528251089405137,0.558240136654855,0.543575735798102,0.938775510204083,0.67379679144385,0.423160886044102,0.473512137755484,0.451543817659426,0.176923076923082,0.356281002815392,0.340394154712428,0.424989945032846,0.0456692913385836,0.403470092024539,0.334164110429446,0.340874233128834,0.769230769230769,0.315239418095928,0.321599838749971,0.315137418941896,1,1,0,0,0,0,0,0,0,0,0,0,0,0.361752293166365,0.370219239052371
0.496910310734463,0,0,0,0.204086177141903,0.612727768274291,0.528251089405137,0.558240136654855,0.938775510204083,0.636363636363636,0.419574221538646,0.423160886044102,0.473512137755484,0.176923076923082,0.406488805469902,0.356281002815392,0.340394154712428,0.0456692913385836,0.265337423312884,0.403470092024539,0.334164110429446,0.769230769230769,0.258110053144375,0.315239418095928,0.321599838749971,1,1,0,0,0,0,0,0,0,0,0,0,0,0.275340903508691,0.511955818045997
0.0760946327683616,0.496910310734463,0,0,0.204086177141903,0.392831254953019,0.612727768274291,0.528251089405137,0.938775510204083,0.748663101604278,0.421229605156482,0.419574221538646,0.423160886044102,0.176923076923082,0.676364123877196,0.406488805469902,0.356281002815392,0.0456692913385836,0.255655674846627,0.265337423312884,0.403470092024539,0.769230769230769,0.194755480077833,0.258110053144375,0.315239418095928,1,1,0,0,0,0,0,0,0,0,0,0,0,0.538370933764298,0.584318340050269
0.145745056497175,0.0760946327683616,0.496910310734463,0,0.204086177141903,0.441585175336978,0.392831254953019,0.612727768274291,0.938775510204083,0.684491978609626,0.45354407286442,0.421229605156482,0.419574221538646,0.176923076923082,0.622871698619117,0.676364123877196,0.406488805469902,0.0456692913385836,0.305885736196319,0.255655674846627,0.265337423312884,0.769230769230769,0.329838572857589,0.194755480077833,0.258110053144375,1,1,0,0,0,0,0,0,0,0,0,0,0,0.503726803642671,0.579443859882486
0.0134180790960452,0.145745056497175,0.0760946327683616,0.496910310734463,0.204086177141903,0.423098300323245,0.441585175336978,0.392831254953019,0.938775510204083,0.732620320855615,0.471511882550499,0.45354407286442,0.421229605156482,0.176923076923082,0.628100281539081,0.622871698619117,0.676364123877196,0.0456692913385836,0.281729294478528,0.305885736196319,0.255655674846627,0.769230769230769,0.257814464893,0.329838572857589,0.194755480077833,1,1,0,0,0,0,0,0,0,0,0,0,0,0.507153370422589,0.566385487660311
0,0.0134180790960452,0.145745056497175,0.0760946327683616,0.204086177141903,0.502953260438971,0.423098300323245,0.441585175336978,0.938775510204083,0.775401069518717,0.424229987963913,0.471511882550499,0.45354407286442,0.176923076923082,0.419761362112884,0.628100281539081,0.622871698619117,0.0456692913385836,0.351706288343558,0.281729294478528,0.305885736196319,0.769230769230769,0.279651683974959,0.257814464893,0.329838572857589,1,1,0,0,0,0,0,0,0,0,0,0,0,0.38642684778717,0.420396036683523
0,0,0.0134180790960452,0.145745056497175,0.204086177141903,0.536243535369721,0.502953260438971,0.423098300323245,0.938775510204083,0.74331550802139,0.359876949817635,0.424229987963913,0.471511882550499,0.176923076923082,0.278254457702105,0.419761362112884,0.628100281539081,0.0456692913385836,0.416794478527607,0.351706288343558,0.281729294478528,0.769230769230769,0.368393050715595,0.279651683974959,0.257814464893,1,1,0,0,0,0,0,0,0,0,0,0,0,0.325845593692774,0.281349207870808
0.445533192090395,0,0,0.0134180790960452,0.204086177141903,0.530787822254764,0.536243535369721,0.502953260438971,0.938775510204083,0.668449197860963,0.304904418839664,0.359876949817635,0.424229987963913,0.176923076923082,0.377731599410109,0.278254457702105,0.419761362112884,0.0456692913385836,0.338765337423312,0.416794478527607,0.351706288343558,0.769230769230769,0.324865252147196,0.368393050715595,0.279651683974959,1,1,0,0,0,0,0,0,0,0,0,0,0,0.344057464364746,0.398329342544829
